Name,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,Phase3Radius,Phase3X,Phase3Hin,Phase3Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4
"C1.1N,C2.1N",0,0,9,9,1,15,-16,-16,1,-15,-36,-36,1,2,-63,-63,1,0,-34,-55,,
"C1.2N,C2.2N",0,0,9,9,1,15,-16,-16,1,-15,-36,-36,1,15,-63,-63,1,0,-34,-55,,
"C1.1NP,C2.1NP",0,0,12,12,1,15,-13,-13,1,-15,-33,-33,1,2,-63,-63,1,0,-34,-55,,
"C1.2NP,C2.2NP",0,0,12,12,1,15,-13,-13,1,-15,-33,-33,1,15,-63,-63,1,0,-34,-55,,
"C1.3N,C2.3N",0,0,9,9,1,15,-16,-16,1,-15,-36,-36,1,3,-63,-63,1,0,-34,-55,,
"C1.3NP,C2.3NP",0,0,12,12,1,15,-13,-13,1,-15,-33,-33,1,3,-63,-63,1,0,-34,-55,,
"C1.4N,C2.4N",1,-15,4,4,1,15,-20,-20,1,-15,-44,-44,1,2,-76,-76,1,0,-39,-63,,
"C1.5N,C2.5N",1,-15,4,4,1,15,-20,-20,1,-15,-44,-44,1,15,-76,-76,1,0,-39,-63,,
"C1.4NP,C2.4NP",1,-15,7,7,1,15,-17,-17,1,-15,-41,-41,1,2,-76,-76,1,0,-39,-63,,
"C1.5NP,C2.5NP",1,-15,7,7,1,15,-17,-17,1,-15,-41,-41,1,15,-76,-76,1,0,-39,-63,,
"C1.6N,C2.6N",1,-15,4,4,1,15,-22,-22,1,-15,-46,-46,1,3,-76,-76,1,0,-39,-63,,
"C1.6NP,C2.6NP",1,-15,7,7,1,15,-19,-19,1,-15,-43,-43,1,3,-76,-76,1,0,-39,-63,,
"C1.7N,C2.7N",1,15,4,4,1,15,-44,-44,1,15,-92,-92,1,2,-148,-148,1,0,-79,,,
"C1.8N,C2.8N",1,15,4,4,1,15,-44,-44,1,15,-92,-92,1,15,-148,-148,1,0,-79,,,
"C1.7NP,C2.7NP",1,15,7,7,1,15,-41,-41,1,15,-89,-89,1,2,-148,-148,1,0,-79,,,
"C1.8NP,C2.8NP",1,15,7,7,1,15,-41,-41,1,15,-89,-89,1,15,-148,-148,1,0,-79,,,
"C1.9N,C2.9N",1,15,4,4,1,15,-44,-44,1,15,-92,-92,1,3,-148,-148,1,0,-79,-35,-127,
"C1.9NP,C2.9NP",1,15,7,7,1,15,-41,-41,1,15,-89,-89,1,3,-148,-148,1,0,-79,-35,-127,
"C1.11,C2.21",0,-44,-5,-5,0,0,9,9,0,44,-5,-5,1,2,-42,-42,1,0,-27,,,
"C1.11L,C2.21L",0,-40,-5,-5,0,0,9,9,0,40,-5,-5,1,2,-42,-42,1,0,-27,,,
"C1.12,C2.22",0,-44,-5,-5,0,0,9,9,0,44,-5,-5,1,15,-42,-42,1,0,-27,,,
"C1.12L,C2.22L",0,-40,-5,-5,0,0,9,9,0,40,-5,-5,1,15,-42,-42,1,0,-27,,,
"C1.11P,C2.21P",0,-44,-2,-2,0,0,12,12,0,44,-2,-2,1,2,-42,-42,1,0,-27,,,
"C1.12P,C2.22P",0,-44,-2,-2,0,0,12,12,0,44,-2,-2,1,15,-42,-42,1,0,-27,,,
